NAME NAME Blurry and spotty . Glad we pay every month for this service ! 	NAME NAME Blurry and spotty .<br> Glad we pay every month for this service !	2	-2	 NAME[0] NAME[0] Blurry[-1] and[0] spotty[0] [[Sentence=-2,1=word max, 1-5]] Glad[1] we[0] pay[0] every[0] month[0] for[0] this[0] service[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
Does anybody have a copy of the  CodeBook for  Racism that  Hillary keeps talking about ? I must have lost mine ! ()	Does anybody have a copy of the  CodeBook for  Racism that  Hillary keeps talking about ?<br> I must have lost mine !<br> (	1	-2	 Does[0] anybody[0] have[0] a[0] copy[0] of[0] the[0] CodeBook[0] for[0] Racism[-1] that[0] Hillary[0] keeps[0] talking[0] about[0] [[Sentence=-2,1=word max, 1-5]] I[0] must[0] have[0] lost[0] mine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
NAME NAME hmm who to trust ? The guy who teaches law for a living or some keyboard warrior on Twitter ? tough choice 	NAME NAME hm who to trust ?<br> The guy who teaches law for a living or some keyboard warrior on Twitter ?<br> tough choice	2	-2	 NAME[0] NAME[0] hmm/hm[0] who[0] to[0] trust[1] [[Sentence=-1,2=word max, 1-5]] The[0] guy[0] who[0] teaches[0] law[0] for[0] a[0] living[0] or[0] some[0] keyboard[0] warrior[0] on[0] Twitter[0] [[Sentence=-1,1=word max, 1-5]] tough[-1] choice[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
NAME NAME Yah ! Why would a corp purposefully prevent themselves from selling their highly sought after product ? 	NAME NAME Yah !<br> Why would a corp purposefully prevent themselves from selling their highly sought after product ?	1	-1	 NAME[0] NAME[0] Yah[0] [[Sentence=-1,1=word max, 1-5]] Why[0] would[0] a[0] corp[0] purposefully[0] prevent[0] themselves[0] from[0] selling[0] their[0] highly[0] sought[0] after[0] product[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are Abraham and Eugene ever gonna settle this romantic tension between them #TWDFinale #TheWalkingDead	are Abraham and Eugene ever gonna settle this romantic tension between them #TWDFinale #TheWalkingDead	4	-3	 are[0] Abraham[0] and[0] Eugene[0] ever[0] gonna[0] settle[0] this[0] romantic[3] tension[-2] between[0] them[0] #TWDFinale[0] #TheWalkingDead[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
Yes , and this is the only reason Roma lost to Madrid . HYPERLINK	Yes , and this is the only reason Roma lost to Madrid .<br> HYPERLINK	1	-1	 Yes[0] and[0] this[0] is[0] the[0] only[0] reason[0] Roma[0] lost[0] to[0] Madrid[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A lover of all things crazy & amp; cool , happily divorced , sarcastic as fuck . #foundawinner #ThingsPeopleSayOnTinder #datingprofiles	A lover of all things crazy & amp; cool , happily divorced , sarcastic as fuck .<br> #foundawinner #ThingsPeopleSayOnTinder #datingprofiles	4	-3	 A[0] lover[3] of[0] all[0] things[0] crazy[-1] &[0] amp[0] cool[1] happily[2] divorced[-1] sarcastic[-2] as[0] fuck[-2] [[Sentence=-3,4=word max, 1-5]] #foundawinner[0] #ThingsPeopleSayOnTinder[0] #datingprofiles[0] [[Sentence=-1,1=word max, 1-5]][[[4,-3 max of sentences]]]
Recording 'Holly Would Go To Hollywood' . Fredricks in the Attic  punk  rock… HYPERLINK	Recording 'Holly Would Go To Hollywood' .<br> Fredricks in the Attic  punk  rock… HYPERLINK	1	-1	 Recording[0] 'Holly[0] Would[0] Go[0] To[0] Hollywood'[0] [[Sentence=-1,1=word max, 1-5]] Fredricks[0] in[0] the[0] Attic[0] punk[0] rock…[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
But there's stars on this jersey & amp; we wouldn't want to give the impression that  USMNT has earned those . HYPERLINK	But there's stars on this jersey & amp; we wouldn't want to give the impression that  USMNT has earned those .<br> HYPERLINK	1	-1	 But[0] there's[0] stars[0] on[0] this[0] jersey[0] &[0] amp[0] we[0] wouldn't[0] want[0] to[0] give[0] the[0] impression[0] that[0] USMNT[0] has[0] earned[0] those[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Sarcasm and shenanignas , it's what brings us mommies together . #YoursInSisterhood #shenanigan #lifelong HYPERLINK	Sarcasm and shenanignas , it's what brings us mommies together .<br> #YoursInSisterhood #shenanigan #lifelong HYPERLINK	1	-3	 Sarcasm[-2] and[0] shenanignas[0] it's[0] what[0] brings[0] us[0] mommies[0] together[0] [[Sentence=-3,1=word max, 1-5]] #YoursInSisterhood[0] #shenanigan[0] #lifelong[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
anxiety is sooooo fun  saidnooneever	anxiety is so fun  saidnooneever	2	-3	 anxiety[-2] is[0] sooooo/so[0][+0.6 MultipleLetters] fun[1] saidnooneever[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
NAME Yes , this is exactly why we have federal law enforcement agencies HYPERLINK	NAME Yes , this is exactly why we have federal law enforcement agencies HYPERLINK	1	-2	 NAME[0] Yes[0] this[0] is[0] exactly[0] why[0] we[0] have[0] federal[0] law[0] enforcement[-1] agencies[0] HYPERLINK[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
NAME Oh lucky you ! ! lol Where are you going ? 	NAME Oh lucky you !<br> !<br> laugh out loud Where are you going ?	2	-1	 NAME[0] Oh[0] lucky[1] you[0] [[Sentence=-1,2=word max, 1-5]] lol[1] Where[0] are[0] you[0] going[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
This is me . This is who I am .                 awkward  moody  focused  sensitive  dope  af HYPERLINK	This is me .<br> This is who I am .<br>                 awkward  moody  focused  sensitive  dope  af HYPERLINK	1	-3	 This[0] is[0] me[0] [[Sentence=-1,1=word max, 1-5]] This[0] is[0] who[0] I[0] am[0] [[Sentence=-1,1=word max, 1-5]] awkward[-1] moody[-2] focused[0] sensitive[0] dope[-1] af[0] HYPERLINK[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
NAME nice to see you did a piece on NAME doing 24 hour walk for heart stroke at Movati Waterloo 	NAME nice to see you did a piece on NAME doing 24 hour walk for heart stroke at Movati Waterloo	2	-1	 NAME[0] nice[1] to[0] see[0] you[0] did[0] a[0] piece[0] on[0] NAME[0] doing[0] 24[0] hour[0] walk[0] for[0] heart[0] stroke[0] at[0] Movati[0] Waterloo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
I just saw the promo and we are in for some grade A CGI work . #OnceUponATime #OUAT #Once 	I just saw the promo and we are in for some grade A CGI work .<br> #OnceUponATime #OUAT #Once	1	-1	 I[0] just[0] saw[0] the[0] promo[0] and[0] we[0] are[0] in[0] for[0] some[0] grade[0] A[0] CGI[0] work[0] [[Sentence=-1,1=word max, 1-5]] #OnceUponATime[0] #OUAT[0] #Once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 mufc fans are not happy about a vital away goal ? :)  UEFAChampionsLeague  bbcfootball	 mufc fans are not happy about a vital away goal ?<br> ?  UEFAChampionsLeague  bbcfootball	2	-2	 mufc[0] fans[0] are[0] not[0] happy[1][NegatedDueToPreviousWord] about[0] a[0] vital[0] away[0] goal[0] [[Sentence=-2,1=word max, 1-5]][+1 Emoticon] UEFAChampionsLeague[0] bbcfootball[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
NAME Thank you NAME for getting 'Under The Boardwalk' stuck in my head . Last few days have been fun ! :P x	NAME Thank you NAME for getting 'Under The Boardwalk' stuck in my head .<br> Last few days have been fun !<br> ! x	2	-1	 NAME[0] Thank[1] you[0] NAME[0] for[0] getting[0] 'Under[0] The[0] Boardwalk'[0] stuck[0] in[0] my[0] head[0] [[Sentence=-1,2=word max, 1-5]] Last[0] few[0] days[0] have[0] been[0] fun[1] [[Sentence=-1,2=word max, 1-5]][+1 Emoticon] x[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
NAME  BULLS Only team that hasn't made a trade in 2 years if they don't make a move . Shocker HYPERLINK	NAME  BULLS Only team that hasn't made a trade in 2 years if they don't make a move .<br> Shocker HYPERLINK	1	-3	 NAME[0] BULLS[0] Only[0] team[0] that[0] hasn't[0] made[0] a[0] trade[0] in[0] 2[0] years[0] if[0] they[0] don't[0] make[0] a[0] move[0] [[Sentence=-1,1=word max, 1-5]] Shocker[-2] HYPERLINK[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
NAME I need a button . Some people just take things too seriously . But still , imagine it "I'd like to vote Labour" "No	NAME I need a button .<br> Some people just take things too seriously .<br> But still , imagine it "I'd like to vote Labour" "No	2	-1	 NAME[0] I[0] need[0] a[0] button[0] [[Sentence=-1,1=word max, 1-5]] Some[0] people[0] just[0] take[0] things[0] too[0] seriously[0] [[Sentence=-1,1=word max, 1-5]] But[0] still[0] imagine[0] it[0] I'd[0] like[1] to[0] vote[0] Labour[0] No[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
NAME If anyone who knows what's best for America , surely it's Gov . Nimrata Nikki Randhawa (NAME who was born in India . …	NAME If anyone who knows what's best for America , surely it's Gov .<br> Nimrata Niki Randhawa (NAME who was born in India .<br> …	2	-1	 NAME[0] If[0] anyone[0] who[0] knows[0] what's[0] best[1] for[0] America[0] surely[0] it's[0] Gov[0] [[Sentence=-1,2=word max, 1-5]] Nimrata[0] Nikki/Niki[0] Randhawa[0] NAME[0] who[0] was[0] born[0] in[0] India[0] [[Sentence=-1,1=word max, 1-5]] …[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
oh , #Putin would never do such a thing . how dare accusing him . Soros supported masons did it HYPERLINK	oh , #Putin would never do such a thing .<br> how dare accusing him .<br> Soros supported masons did it HYPERLINK	2	-2	 oh[0] #Putin[0] would[0] never[0] do[0] such[0] a[0] thing[0] [[Sentence=-1,1=word max, 1-5]] how[0] dare[0] accusing[-1] him[0] [[Sentence=-2,1=word max, 1-5]] Soros[0] supported[1] masons[0] did[0] it[0] HYPERLINK[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
I guess 2 terms of a half-breed POTUS means that Black Lives Matter huh ? ? ? The world is so fucking brand spanking new for Blacks 	I guess 2 terms of a half-breed POTUS means that Black Lives Matter huh ?<br> ?<br> ?<br> The world is so fucking brand spanking new for Blacks	1	-1	 I[0] guess[0] 2[0] terms[0] of[0] a[0] half[0] breed[0] POTUS[0] means[0] that[0] Black[0] Lives[0] Matter[0] huh[0] [[Sentence=-1,1=word max, 1-5]] The[0] world[0] is[0] so[0] fucking[0] brand[0] spanking[0] new[0] for[0] Blacks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
text testing hootsuite#lol 	text testing hootsuite#lol	1	-1	 text[0] testing[0] hootsuite#lol[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Funny tee shirt , just whip it , tee shirt , graphic tee , gifts under … HYPERLINK #WitticismsRus HYPERLINK	Funny tee shirt , just whip it , tee shirt , graphic tee , gifts under … HYPERLINK #WitticismsRus HYPERLINK	2	-1	 Funny[1] tee[0] shirt[0] just[0] whip[-1][--1 LastWordBoosterStrength] it[0] tee[0] shirt[0] graphic[0] tee[0] gifts[0] under[0] …[0] HYPERLINK[0] #WitticismsRus[0] HYPERLINK[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
I'm going to make a whole series of #action movies that mock today's cliché action movies . The level of will be through the roof ! 	I'm going to make a whole series of #action movies that mock today's cliché action movies .<br> The level of will be through the roof !	1	-3	 I'm[0] going[0] to[0] make[0] a[0] whole[0] series[0] of[0] #action[0] movies[0] that[0] mock[-2] today's[0] cliché[0] action[0] movies[0] [[Sentence=-3,1=word max, 1-5]] The[0] level[0] of[0] will[0] be[0] through[0] the[0] roof[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
What fucking year is this ?  snark  religion  toronto NAME  atheism  ignorance HYPERLINK via torontostar	What fucking year is this ?<br>  snark  religion  toronto NAME  atheism  ignorance HYPERLINK via torontostar	1	-3	 What[0] fucking[0] year[0] is[0] this[0] [[Sentence=-1,1=word max, 1-5]] snark[0] religion[0] toronto[0] NAME[0] atheism[0] ignorance[-2] HYPERLINK[0] via[0] torontostar[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Great pass to start things out Harden #Rockets	Great pass to start things out Harden #Rockets	3	-1	 Great[2] pass[0] to[0] start[0] things[0] out[0] Harden[0] #Rockets[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
NAME NAME NAME NAME ! I guess that was too plausible	NAME NAME NAME NAME !<br> I guess that was too plausible	1	-1	 NAME[0] NAME[0] NAME[0] NAME[0] [[Sentence=-1,1=word max, 1-5]] I[0] guess[0] that[0] was[0] too[0] plausible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Oh , darn . HYPERLINK	Oh , darn .<br> HYPERLINK	1	-2	 Oh[0] darn[-1] [[Sentence=-2,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
NAME NAME yes ! Sheikh imran ge sentencing in ves ingeynun mee democracy week kan 	NAME NAME yes !<br> Sheikh imran ge sentencing in ves ingeynun me democracy week kan	1	-1	 NAME[0] NAME[0] yes[0] [[Sentence=-1,1=word max, 1-5]] Sheikh[0] imran[0] ge[0] sentencing[0] in[0] ves[0] ingeynun[0] mee/me[0] democracy[0] week[0] kan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
What a great day it's been 	What a great day it's been	3	-1	 What[0] a[0] great[2] day[0] it's[0] been[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
girls that give blow jobs just because they have no job & gt; & gt; 	girls that give blow jobs just because they have no job & gt; & gt;	1	-1	 girls[0] that[0] give[0] blow[0] jobs[0] just[0] because[0] they[0] have[0] no[0] job[0] &[0] gt[0] &[0] gt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
HYPERLINK Thinking about setting up a Facebook page for my  photography . Finger on the pulse of social marketing . 	HYPERLINK Thinking about setting up a Facebook page for my  photography .<br> Finger on the pulse of social marketing .	1	-1	 HYPERLINK[0] Thinking[0] about[0] setting[0] up[0] a[0] Facebook[0] page[0] for[0] my[0] photography[0] [[Sentence=-1,1=word max, 1-5]] Finger[0] on[0] the[0] pulse[0] of[0] social[0] marketing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
